Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2014-15,22,UTA,NBA,SG,50,21,21.3,3.1,7.5,.414,1.2,3.4,.365,1.9,4.1,.456,.497,1.2,1.6,.763,0.2,2.2,2.3,1.7,0.6,0.2,0.9,2.4,8.7,
2015-16,23,UTA,NBA,SG,79,79,32.2,5.2,12.3,.420,2.0,5.7,.359,3.1,6.6,.472,.503,2.2,2.5,.860,0.5,2.9,3.4,2.7,0.9,0.2,1.6,2.6,14.5,
2016-17,24,UTA,NBA,SG,59,55,27.0,4.6,11.3,.408,1.9,5.2,.371,2.7,6.1,.440,.494,1.5,1.9,.783,0.3,3.2,3.4,1.6,0.6,0.2,1.1,2.2,12.7,
2017-18,25,2TM,NBA,SG,60,23,26.9,5.4,12.5,.429,2.1,5.6,.381,3.3,7.0,.467,.513,1.9,2.2,.860,0.4,2.4,2.8,1.6,0.8,0.2,1.2,1.8,14.7,6MOY-12
2017-18,25,UTA,NBA,SG,39,12,27.8,6.0,14.2,.424,2.6,6.7,.389,3.4,7.4,.455,.516,2.2,2.5,.876,0.4,2.5,2.8,1.7,0.8,0.2,1.6,1.6,16.8,
2017-18,25,CLE,NBA,SG,21,11,25.3,4.2,9.5,.442,1.2,3.4,.352,3.0,6.1,.492,.505,1.2,1.5,.813,0.4,2.2,2.6,1.4,0.7,0.2,0.3,2.0,10.8,
2018-19,26,2TM,NBA,SG,72,49,26.3,4.1,9.3,.435,1.2,3.3,.356,2.9,6.0,.478,.498,1.9,2.2,.884,0.3,1.8,2.2,1.8,0.8,0.2,0.8,2.0,11.2,
2018-19,26,CLE,NBA,SG,45,45,27.4,4.3,10.1,.427,1.2,3.4,.362,3.1,6.7,.460,.488,2.3,2.5,.912,0.4,2.1,2.5,2.0,0.8,0.1,0.8,2.2,12.2,
2018-19,26,POR,NBA,SG,27,4,24.4,3.6,8.0,.452,1.1,3.1,.345,2.6,4.9,.519,.518,1.2,1.5,.805,0.3,1.4,1.7,1.3,0.8,0.3,0.7,1.7,9.6,
2019-20,27,POR,NBA,SF,21,21,29.5,4.1,8.2,.506,1.7,3.4,.493,2.5,4.8,.515,.608,1.0,1.3,.778,0.5,3.0,3.4,1.5,0.8,0.2,0.9,2.2,11.0,
2020-21,28,2TM,NBA,SF,55,5,17.1,1.7,4.7,.362,0.6,2.1,.301,1.1,2.7,.408,.427,0.4,0.5,.857,0.4,1.5,1.9,1.0,0.4,0.1,0.7,1.3,4.5,
2020-21,28,POR,NBA,SF,38,5,19.1,1.9,5.3,.363,0.7,2.2,.298,1.3,3.1,.410,.425,0.2,0.3,.750,0.5,1.4,1.9,1.2,0.5,0.1,0.8,1.6,4.7,
2020-21,28,TOR,NBA,SF,17,0,12.7,1.2,3.5,.356,0.5,1.7,.310,0.7,1.8,.400,.432,0.9,0.9,.938,0.3,1.5,1.8,0.4,0.2,0.2,0.3,0.9,3.9,
2021-22,29,2TM,NBA,SF,52,0,13.6,1.1,3.0,.369,0.6,1.8,.330,0.5,1.3,.424,.465,0.3,0.4,.895,0.3,1.2,1.5,0.7,0.3,0.1,0.2,0.6,3.1,
2021-22,29,MIL,NBA,PF,39,0,14.9,1.2,3.4,.351,0.6,2.1,.300,0.6,1.3,.431,.443,0.3,0.4,.929,0.3,1.4,1.7,0.8,0.3,0.1,0.2,0.7,3.3,
2021-22,29,LAC,NBA,SF,13,0,9.8,0.9,2.0,.462,0.5,0.8,.545,0.5,1.2,.400,.577,0.3,0.4,.800,0.2,0.6,0.8,0.6,0.2,0.2,0.3,0.3,2.6,
